,date,open,high,low,close,adjusted_close,volume
0,2017-01-03,2251.5701,2263.8799,2245.1299,2257.8301,2257.8301,3773010000
1,2017-01-04,2261.6001,2272.8201,2261.6001,2270.75,2270.75,3768890000
2,2017-01-05,2268.1799,2271.5,2260.45,2269.0,2269.0,3785080000
3,2017-01-06,2271.1399,2282.1001,2264.0601,2276.98,2276.98,3342080000
4,2017-01-09,2273.5901,2275.49,2268.8999,2268.8999,2268.8999,3219730000
5,2017-01-10,2269.72,2279.27,2265.27,2268.8999,2268.8999,3640560000
6,2017-01-11,2268.6001,2275.3201,2260.8301,2275.3201,2275.3201,3625080000
7,2017-01-12,2271.1399,2271.78,2254.25,2270.4399,2270.4399,3466220000
8,2017-01-13,2272.74,2278.6799,2271.51,2274.6399,2274.6399,3090680000
9,2017-01-17,2269.1399,2272.0801,2262.8101,2267.8899,2267.8899,3586950000
10,2017-01-18,2269.1399,2272.01,2263.3501,2271.8899,2271.8899,3317670000
11,2017-01-19,2271.8999,2274.3301,2258.4099,2263.6899,2263.6899,3168390000
12,2017-01-20,2269.96,2276.96,2265.01,2271.3101,2271.3101,3536850000
13,2017-01-23,2267.78,2271.78,2257.02,2265.2,2265.2,3155240000
14,2017-01-24,2267.8799,2284.6299,2266.6799,2280.0701,2280.0701,3816950000
15,2017-01-25,2288.8799,2299.55,2288.8799,2298.3701,2298.3701,3849340000
16,2017-01-26,2298.6299,2300.99,2294.0801,2296.6799,2296.6799,3611510000
17,2017-01-27,2299.02,2299.02,2291.6201,2294.6899,2294.6899,3137420000
18,2017-01-30,2286.01,2286.01,2268.04,2280.8999,2280.8999,3595040000
19,2017-01-31,2274.02,2279.0901,2267.21,2278.8701,2278.8701,4089730000
20,2017-02-01,2285.5901,2289.1399,2272.4399,2279.55,2279.55,3919190000
21,2017-02-02,2276.6899,2283.97,2271.6499,2280.8501,2280.8501,3809760000
22,2017-02-03,2288.54,2298.3101,2287.8799,2297.4199,2297.4199,3605970000
23,2017-02-06,2294.28,2296.1799,2288.5701,2292.5601,2292.5601,3112390000
24,2017-02-07,2295.8701,2299.3999,2290.1599,2293.0801,2293.0801,3452460000
25,2017-02-08,2289.55,2295.9099,2285.3799,2294.6699,2294.6699,3611950000
26,2017-02-09,2296.7,2311.0801,2296.6101,2307.8701,2307.8701,3681600000
27,2017-02-10,2312.27,2319.23,2311.1001,2316.1001,2316.1001,3496600000
28,2017-02-13,2321.72,2331.5801,2321.4199,2328.25,2328.25,3352370000
29,2017-02-14,2326.1201,2337.5801,2322.1699,2337.5801,2337.5801,3528040000
30,2017-02-15,2335.5801,2351.3,2334.8101,2349.25,2349.25,3785870000
31,2017-02-16,2349.6399,2351.3101,2338.8701,2347.22,2347.22,3675900000
32,2017-02-17,2343.01,2351.1599,2339.5801,2351.1599,2351.1599,3516830000
33,2017-02-21,2354.9099,2366.71,2354.9099,2365.3799,2365.3799,3587520000
34,2017-02-22,2361.1101,2365.1299,2358.3401,2362.8201,2362.8201,3473170000
35,2017-02-23,2367.5,2368.26,2355.0901,2363.8101,2363.8101,4021770000
36,2017-02-24,2355.73,2367.3401,2352.8701,2367.3401,2367.3401,3832410000
37,2017-02-27,2365.23,2371.54,2361.8701,2369.75,2369.75,3584680000
38,2017-02-28,2366.0801,2367.79,2358.96,2363.6399,2363.6399,4212460000
39,2017-03-01,2380.1299,2400.98,2380.1299,2395.96,2395.96,4347630000
40,2017-03-02,2394.75,2394.75,2380.1699,2381.9199,2381.9199,3824030000
41,2017-03-03,2380.9199,2383.8899,2375.3899,2383.1201,2383.1201,3556670000
42,2017-03-06,2375.23,2378.8,2367.98,2375.3101,2375.3101,3251800000
43,2017-03-07,2370.74,2375.1201,2365.51,2368.3899,2368.3899,3526300000
44,2017-03-08,2369.8101,2373.0901,2361.01,2362.98,2362.98,3814080000
45,2017-03-09,2363.49,2369.0801,2354.54,2364.8701,2364.8701,3718450000
46,2017-03-10,2372.52,2376.8601,2363.04,2372.6001,2372.6001,3434400000
47,2017-03-13,2371.5601,2374.4199,2368.52,2373.47,2373.47,3166650000
48,2017-03-14,2368.55,2368.55,2358.1799,2365.45,2365.45,3173760000
49,2017-03-15,2370.3401,2390.01,2368.9399,2385.26,2385.26,3909490000
50,2017-03-16,2387.71,2388.1001,2377.1799,2381.3799,2381.3799,3368880000
51,2017-03-17,2383.71,2385.71,2377.6399,2378.25,2378.25,5179820000
52,2017-03-20,2378.24,2379.55,2369.6599,2373.47,2373.47,3061560000
53,2017-03-21,2379.3201,2381.9299,2341.8999,2344.02,2344.02,4278890000
54,2017-03-22,2343.0,2351.8101,2336.45,2348.45,2348.45,3575160000
55,2017-03-23,2345.97,2358.9199,2342.1299,2345.96,2345.96,3262400000
56,2017-03-24,2350.4199,2356.22,2335.74,2343.98,2343.98,2978530000
57,2017-03-27,2329.1101,2344.8999,2322.25,2341.5901,2341.5901,3242300000
58,2017-03-28,2339.79,2363.78,2337.6299,2358.5701,2358.5701,3369120000
59,2017-03-29,2356.54,2363.3601,2352.9399,2361.1299,2361.1299,3107670000
60,2017-03-30,2361.3101,2370.4199,2358.5801,2368.0601,2368.0601,3159680000
61,2017-03-31,2364.8201,2370.3501,2362.6001,2362.72,2362.72,3356740000
62,2017-04-03,2362.3401,2365.8701,2344.73,2358.8401,2358.8401,3418730000
63,2017-04-04,2354.76,2360.53,2350.72,2360.1599,2360.1599,3208340000
64,2017-04-05,2366.5901,2378.3601,2350.52,2352.95,2352.95,3780650000
65,2017-04-06,2353.79,2364.1599,2348.8999,2357.49,2357.49,3203250000
66,2017-04-07,2356.5901,2363.76,2350.74,2355.54,2355.54,3054700000
67,2017-04-10,2357.1599,2366.3701,2351.5,2357.1599,2357.1599,2792570000
68,2017-04-11,2353.9199,2355.22,2337.25,2353.78,2353.78,3120900000
69,2017-04-12,2352.1499,2352.72,2341.1799,2344.9299,2344.9299,3201300000
70,2017-04-13,2341.98,2348.26,2328.95,2328.95,2328.95,3146380000
71,2017-04-17,2332.6201,2349.1399,2332.51,2349.01,2349.01,2826890000
72,2017-04-18,2342.53,2348.3501,2334.54,2342.1899,2342.1899,3272210000
73,2017-04-19,2346.79,2352.6299,2335.05,2338.1699,2338.1699,3521160000
74,2017-04-20,2342.6899,2361.3701,2340.9099,2355.8401,2355.8401,3648990000
75,2017-04-21,2354.74,2356.1799,2344.51,2348.6899,2348.6899,3524160000
76,2017-04-24,2370.3301,2376.98,2369.1899,2374.1499,2374.1499,3711170000
77,2017-04-25,2381.51,2392.48,2381.1499,2388.6101,2388.6101,4005820000
78,2017-04-26,2388.98,2398.1599,2386.78,2387.45,2387.45,4111350000
79,2017-04-27,2389.7,2392.1001,2382.6799,2388.77,2388.77,4099940000
80,2017-04-28,2393.6799,2393.6799,2382.3601,2384.2,2384.2,3721350000
81,2017-05-01,2388.5,2394.49,2384.8301,2388.3301,2388.3301,3201500000
82,2017-05-02,2391.05,2392.9299,2385.8201,2391.1699,2391.1699,3861360000
83,2017-05-03,2386.5,2389.8201,2379.75,2388.1299,2388.1299,3896760000
84,2017-05-04,2389.79,2391.4299,2380.3501,2389.52,2389.52,4367860000
85,2017-05-05,2392.3701,2399.29,2389.3799,2399.29,2399.29,3543240000
86,2017-05-08,2399.9399,2401.3601,2393.9199,2399.3799,2399.3799,3429990000
87,2017-05-09,2401.5801,2403.8701,2392.4399,2396.9199,2396.9199,3657840000
88,2017-05-10,2396.79,2399.74,2392.79,2399.6299,2399.6299,3649370000
89,2017-05-11,2394.8401,2395.72,2381.74,2394.4399,2394.4399,3727710000
90,2017-05-12,2392.4399,2392.4399,2387.1899,2390.8999,2390.8999,3304620000
91,2017-05-15,2393.98,2404.05,2393.9399,2402.3201,2402.3201,3490080000
92,2017-05-16,2404.55,2405.77,2396.05,2400.6699,2400.6699,3421810000
93,2017-05-17,2382.95,2384.8701,2356.21,2357.03,2357.03,4164760000
94,2017-05-18,2354.6899,2375.74,2352.72,2365.72,2365.72,4319440000
95,2017-05-19,2371.3701,2389.0601,2370.4299,2381.73,2381.73,3831700000
96,2017-05-22,2387.21,2395.46,2386.9199,2394.02,2394.02,3176580000
97,2017-05-23,2397.04,2400.8501,2393.8799,2398.4199,2398.4199,3216560000
98,2017-05-24,2401.4099,2405.5801,2397.99,2404.3899,2404.3899,3389240000
99,2017-05-25,2409.54,2418.71,2408.01,2415.0701,2415.0701,3538210000
100,2017-05-26,2414.5,2416.6799,2412.2,2415.8201,2415.8201,2806930000
101,2017-05-30,2411.6699,2415.26,2409.4299,2412.9099,2412.9099,3205860000
102,2017-05-31,2415.6299,2415.99,2403.5901,2411.8,2411.8,4518040000
103,2017-06-01,2415.6499,2430.0601,2413.54,2430.0601,2430.0601,3860620000
104,2017-06-02,2431.28,2440.23,2427.71,2439.0701,2439.0701,3465500000
105,2017-06-05,2437.8301,2439.55,2434.3201,2436.1001,2436.1001,2916720000
106,2017-06-06,2431.9199,2436.21,2428.1201,2429.3301,2429.3301,3376750000
107,2017-06-07,2432.03,2435.28,2424.75,2433.1399,2433.1399,3576220000
108,2017-06-08,2434.27,2439.27,2427.9399,2433.79,2433.79,3735980000
109,2017-06-09,2436.3899,2446.2,2415.7,2431.77,2431.77,4029860000
110,2017-06-12,2425.8799,2430.3799,2419.97,2429.3899,2429.3899,4031840000
111,2017-06-13,2434.1499,2441.49,2431.28,2440.3501,2440.3501,3278240000
112,2017-06-14,2443.75,2443.75,2428.3401,2437.9199,2437.9199,3558640000
113,2017-06-15,2424.1399,2433.95,2418.53,2432.46,2432.46,3371980000
114,2017-06-16,2431.24,2433.1499,2422.8799,2433.1499,2433.1499,5299380000
115,2017-06-19,2442.55,2453.8201,2441.79,2453.46,2453.46,3271480000
116,2017-06-20,2450.6599,2450.6599,2436.6001,2437.03,2437.03,3422700000
117,2017-06-21,2439.3101,2442.23,2430.74,2435.6101,2435.6101,3599190000
118,2017-06-22,2437.3999,2441.6201,2433.27,2434.5,2434.5,3477250000
119,2017-06-23,2434.6499,2441.3999,2431.1101,2438.3,2438.3,5282460000
120,2017-06-26,2443.3201,2450.4199,2437.03,2439.0701,2439.0701,3243660000
121,2017-06-27,2436.3401,2440.1499,2419.3799,2419.3799,2419.3799,3564770000
122,2017-06-28,2428.7,2442.97,2428.02,2440.6899,2440.6899,3479980000
123,2017-06-29,2442.3799,2442.73,2405.7,2419.7,2419.7,3869560000
124,2017-06-30,2429.2,2432.71,2421.6499,2423.4099,2423.4099,3366030000
125,2017-07-03,2431.3899,2439.1699,2428.6899,2429.01,2429.01,1901480000
126,2017-07-05,2430.78,2434.8999,2422.05,2432.54,2432.54,3368150000
127,2017-07-06,2423.4399,2424.28,2407.7,2409.75,2409.75,3368710000
128,2017-07-07,2413.52,2426.9199,2413.52,2425.1799,2425.1799,2929390000
129,2017-07-10,2424.51,2432.0,2422.27,2427.4299,2427.4299,3009880000
130,2017-07-11,2427.3501,2429.3,2412.79,2425.53,2425.53,3108800000
131,2017-07-12,2435.75,2445.76,2435.75,2443.25,2443.25,3176900000
132,2017-07-13,2444.99,2449.3201,2441.6899,2447.8301,2447.8301,3068510000
133,2017-07-14,2449.1599,2463.54,2446.6899,2459.27,2459.27,2738460000
134,2017-07-17,2459.5,2462.8201,2457.1599,2459.1399,2459.1399,2800580000
135,2017-07-18,2455.8799,2460.9199,2450.3401,2460.6101,2460.6101,2974090000
136,2017-07-19,2463.8501,2473.8301,2463.8501,2473.8301,2473.8301,3063810000
137,2017-07-20,2475.5601,2477.6201,2468.4299,2473.45,2473.45,3223820000
138,2017-07-21,2467.3999,2472.54,2465.0601,2472.54,2472.54,3066880000
139,2017-07-24,2472.04,2473.1001,2466.3201,2469.9099,2469.9099,3019920000
140,2017-07-25,2477.8799,2481.24,2474.9099,2477.1299,2477.1299,4116360000
141,2017-07-26,2479.97,2481.6899,2474.9399,2477.8301,2477.8301,3597830000
142,2017-07-27,2482.76,2484.04,2459.9299,2475.4199,2475.4199,4035740000
143,2017-07-28,2469.1201,2473.53,2464.6599,2472.1001,2472.1001,3302850000
144,2017-07-31,2475.9399,2477.96,2468.53,2470.3,2470.3,3475930000
145,2017-08-01,2477.1001,2478.51,2471.1399,2476.3501,2476.3501,3470260000
146,2017-08-02,2480.3799,2480.3799,2466.48,2477.5701,2477.5701,3487150000
147,2017-08-03,2476.03,2476.03,2468.8501,2472.1599,2472.1599,3662410000
148,2017-08-04,2476.8799,2480.0,2472.0801,2476.8301,2476.8301,3239980000
149,2017-08-07,2477.1399,2480.95,2475.8799,2480.9099,2480.9099,2935130000
150,2017-08-08,2478.3501,2490.8701,2470.3201,2474.9199,2474.9199,3347480000
151,2017-08-09,2465.3501,2474.4099,2462.0801,2474.02,2474.02,3310960000
152,2017-08-10,2465.3799,2465.3799,2437.75,2438.21,2438.21,3635820000
153,2017-08-11,2441.04,2448.0901,2437.8501,2441.3201,2441.3201,3161830000
154,2017-08-14,2454.96,2468.22,2454.96,2465.8401,2465.8401,2824320000
155,2017-08-15,2468.6599,2468.8999,2461.6101,2464.6101,2464.6101,2922430000
156,2017-08-16,2468.6299,2474.9299,2463.8601,2468.1101,2468.1101,2956570000
157,2017-08-17,2462.95,2465.02,2430.01,2430.01,2430.01,3164950000
158,2017-08-18,2427.6399,2440.27,2420.6899,2425.55,2425.55,3426970000
159,2017-08-21,2425.5,2430.5801,2417.3501,2428.3701,2428.3701,2803650000
160,2017-08-22,2433.75,2454.77,2433.6699,2452.51,2452.51,2780990000
161,2017-08-23,2444.8799,2448.9099,2441.4199,2444.04,2444.04,2796950000
162,2017-08-24,2447.9099,2450.3899,2436.1899,2438.97,2438.97,2849680000
163,2017-08-25,2444.72,2453.96,2442.22,2443.05,2443.05,2593350000
164,2017-08-28,2447.3501,2449.1201,2439.03,2444.24,2444.24,2682920000
165,2017-08-29,2431.9399,2449.1899,2428.2,2446.3,2446.3,2739460000
166,2017-08-30,2446.0601,2460.3101,2443.77,2457.5901,2457.5901,2637780000
167,2017-08-31,2462.6499,2475.01,2462.6499,2471.6499,2471.6499,3353860000
168,2017-09-01,2474.4199,2480.3799,2473.8501,2476.55,2476.55,2712780000
